n_i,x_i,n_j,x_j,y_i,dZ
4.0,0.8784784550936986,21.0,0.879738333814039,-0.0012598787203403905,-0.0009241512487370152
8.0,0.8809616056327499,31.0,0.880813025613777,0.0001485800189729991,0.00022952644572882264
16.0,0.8839011600626303,25.0,0.8814994296736476,0.0024017303889827257,0.00253789123243775
23.0,0.8853547986288757,27.0,0.8822650862479566,0.0030897123809190408,0.002776296322293592
2.0,0.8853879542590011,29.0,0.8829796525699588,0.0024083016890422693,0.0019971223645091074
0.0,0.8853879542590011,5.0,0.8829951722076996,0.0023927820513014453,0.0019580850365612523
3.0,0.928152477231174,0.0,0.9675006027528285,-0.03934812552165445,-0.03934404998709684
1.0,0.928152477231174,9.0,0.9675006027528285,-0.03934812552165445,-0.039877972854458044
0.0,0.928152477231174,37.0,0.9675006027528285,-0.03934812552165445,-0.04231934785224478
0.0,0.928152477231174,21.0,0.9675006027528285,-0.03934812552165445,-0.04428627692467968
5.0,0.9302465876639024,21.0,0.97488085756375,-0.044634269899847534,-0.04430035090222806
13.0,0.9767320713283316,26.0,0.9764196109944376,0.0003124603338939824,0.0014960564148408517
9.0,0.5911193208618708,21.0,0.5859205019893751,0.005198818872495736,0.006550561361865159
0.0,0.5911193208618708,17.0,0.5875968296614976,0.003522491200373179,0.0034004381740226908
0.0,0.5911193208618708,12.0,0.6006731011085492,-0.009553780246678412,-0.007068897496854465
0.0,0.5911193208618708,11.0,0.6006731011085492,-0.009553780246678412,-0.007334383748322848
0.0,0.5911193208618708,33.0,0.6009605577059884,-0.00984123684411764,-0.008710541668190519
24.0,0.6120783433705593,56.0,0.6059763458217197,0.006101997548839666,0.007210304471502282
35.0,0.6203468618679364,46.0,0.6130146004538087,0.007332261414127683,0.006759882347654567
28.0,0.6250500346881254,63.0,0.6156161238493313,0.00943391083879408,0.00972990529972051
29.0,0.6254593777580001,51.0,0.6159689074096036,0.009490470348396451,0.010236487243710402
25.0,0.6265859549846945,56.0,0.6161649710131112,0.010420983971583309,0.010468104979579507
21.0,0.6271541647189998,54.0,0.6169276285385644,0.010226536180435342,0.010493078210954687
24.0,0.6272195799674435,29.0,0.6230360525371037,0.004183527430339784,0.006013361887694857
3.0,0.6272195799674435,20.0,0.6246361500578955,0.002583429909547963,0.004045712492607878
11.0,0.5344597712937798,9.0,0.5361519922055279,-0.0016922209117481435,-0.0028120138805791672
6.0,0.5344597712937798,1.0,0.5364340290241526,-0.0019742577303728526,-0.00305133421084125
11.0,0.5344597712937798,22.0,0.5371263012153223,-0.002666529921542593,-0.004188105779585949
21.0,0.5344597712937798,0.0,0.5371263012153223,-0.002666529921542593,-0.004128275697020456
20.0,0.535357161171222,15.0,0.5371263012153223,-0.0017691400441003369,-0.004188105779585949
30.0,0.5374852571662991,24.0,0.5372288600584585,0.0002563971078406446,-0.0016752423118344684
12.0,0.8851168800657817,23.0,0.8656172912016915,0.0194995888640902,0.01589912280701755
7.0,0.8851168800657817,29.0,0.8766592270644896,0.008457653001292087,-0.00027412280701755165
13.0,0.9013273816515917,19.0,0.8788911077176084,0.022436273933983286,0.0172697368421052
16.0,0.9082579584165394,19.0,0.8788911077176084,0.02936685069893108,0.021107456140350922
19.0,0.9082579584165394,20.0,0.8839422060378245,0.024315752378714972,0.015625
15.0,0.9084928932221308,28.0,0.8859391518853518,0.02255374133677901,0.01589912280701755
33.0,0.9094326324444968,48.0,0.8859391518853518,0.02349348055914502,0.016173245614035103
35.0,0.9111946434864324,61.0,0.9095500998472924,0.001644543639140017,0.0
28.0,0.9111946434864324,29.0,0.9110771760836368,0.00011746740279561241,-0.002467105263158076
8.0,0.9376023190052784,17.0,0.9311570672836132,0.006445251721665102,0.00593486862128445
2.0,0.9408934394068432,11.0,0.944245443844614,-0.003352004437770728,-0.0022657333198070617
18.0,0.9499533222388992,9.0,0.9444585379713344,0.0054947842675647784,0.007017009908356409
30.0,0.953853283002521,20.0,0.9487610098632036,0.0050922731393174825,0.005461431808190587
20.0,0.9548494134837754,19.0,0.9533036354534415,0.0015457780303338442,0.0030773392851100034
11.0,0.9182985601880856,0.0,0.93176261675969,-0.013464056571604321,-0.012794277157176959
1.0,0.9182985601880856,0.0,0.93176261675969,-0.013464056571604321,-0.012794277157176959
56.0,0.9319945879317286,25.0,0.932160743167289,-0.00016615523556040568,-0.00035358347716840655
100.0,0.93300881320966,35.0,0.9327781365620604,0.0002306766475995703,0.00030090832936247036
35.0,0.9332153786662972,35.0,0.9331773216471848,3.80570191124141e-05,0.000502525820829991
4.0,0.0085095962254499,2.0,0.0020291961088707,0.0064804001165792,0.0079217342251157
7.0,0.009174042913582,2.0,0.0044564831997694,0.004717559713812601,0.005322160605646999
1.0,0.0093084634275615,0.0,0.0044564831997694,0.0048519802277921,0.005869063620849
2.0,0.0097311461674907,2.0,0.0075362104413753,0.0021949357261154,0.0022303156634887
4.0,0.0100433297711901,2.0,0.0090762019011534,0.0009671278700367006,0.0008264766578059014
6.0,0.0100433297711901,1.0,0.0090762019011534,0.0009671278700367006,0.0013941752671530003
6.0,0.0100433297711901,7.0,0.0099727907442433,7.053902694680037e-05,0.0006829144717207993
10.0,0.6190414298240686,14.0,0.6157867524237998,0.003254677400268857,0.011068973129972126
